2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 0/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 0 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 1/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 1 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 2/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 2 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 3/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 3 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 4/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 4 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 5/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 5 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 6/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 6 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 7/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 7 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 8/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 8 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 9/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 9 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 10/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 10 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 11/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 11 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 12/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 12 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
2026-01-22T18:00:05.000000000Z Training epoch 0, iteration 13/17279 | lr: 8.982e-08 | global_batch_size: 64 | global_step: 13 | max_memory_reserved: 121987137536 | max_memory_allocated: 120549646336 | reduced_train_loss: 2.000 | train_step_timing in s: 1.000 | TFLOPS_per_GPU: 36.27
